"pathway","pval","padj","log2err","ES","NES","size","query_gene","rank_by_NES","self_enrichment_rank"
"ZEB1",0.427728613569322,0.647883047024119,0.11101149245045,-0.242769292641165,-1.0112158186375,55,"AR",68,87
"ZKSCAN1",0.887769784172662,0.962529344945097,0.035996889024589,0.184297058166759,0.760645619981366,85,"AR",99,87
"ZMIZ1",0.0145068766878512,0.0557882497847169,0.380730400722792,0.237762458539191,1.24215582266124,700,"AR",26,87
"ZNF384",0.0087857466512056,0.0452465952537088,0.380730400722792,0.248560732142122,1.27874056922228,588,"AR",21,87
"AR",0.770925110132159,0.876886849414322,0.0299195667151671,-0.182069908288352,-0.906964026066028,431,"ATF2",84,49
"ATF2",0.215508559919436,0.526683907370401,0.0875697115548511,-0.201364156028131,-1.06020703515497,2025,"ATF2",49,49
"ATF3",0.755244755244755,0.876886849414322,0.0421619430092452,-0.208452728960054,-0.850869395308616,85,"ATF2",95,49
"BCL3",0.316964285714286,0.627833104395604,0.165656695205483,0.201473857810303,1.04949704726959,160,"ATF2",51,49
"BCLAF1",0.0281697629141976,0.193432372010824,0.352487857583619,-0.244504385051128,-1.23839691370637,605,"ATF2",14,49
"BHLHE40",0.0584028605482718,0.286452125546285,0.20207170902116,-0.258538577680419,-1.24785595978809,268,"ATF2",13,49
"BRCA1",0.177354709418838,0.493717164057845,0.0985499803531691,-0.203256027808904,-1.07322224152734,2347,"ATF2",45,49
"CBX3",0.742857142857143,0.876886849414322,0.0462302524077616,-0.222663413635693,-0.839539408636783,53,"ATF2",96,49
"CEBPB",0.471311475409836,0.758516905737705,0.126875729929857,0.204122643294805,1.00558342425373,113,"ATF2",63,49
"CEBPD",0.00566101133170291,0.0734585132018015,0.407017918923954,-0.26210847362646,-1.321213142714,541,"ATF2",9,49
"CHD1",0.204962243797195,0.526683907370401,0.0943563635421779,-0.216378230100393,-1.09004015413819,526,"ATF2",39,49
"CREB1",0.381909547738693,0.678218679604921,0.0583452776743612,-0.194745339239108,-1.02327392190964,1625,"ATF2",59,49
"CREB1",0.46849593495935,0.758516905737705,0.0493910105981501,-0.192340095020397,-1.00437798070045,1124,"ATF2",64,49
"CTCF",0.255693581780538,0.542529798966343,0.0797705918628453,-0.205207706565125,-1.06299038696096,939,"ATF2",48,49
"E2F1",0.286320254506893,0.589819724284199,0.0751181635276301,-0.207303701003388,-1.05705256098257,673,"ATF2",50,49
"E2F4",0.0268240343347639,0.193432372010824,0.287857117255149,-0.24418337504432,-1.23673229858005,613,"ATF2",15,49
"E2F6",0.00044195048725169,0.0151736333956413,0.49849310876659,-0.238387946174514,-1.25653977939176,2119,"ATF2",11,49
"EGR1",0.16497461928934,0.472010716300056,0.118287526124085,-0.251363466123769,-1.15632170426403,181,"ATF2",27,49
"EGR1",0.22247191011236,0.526683907370401,0.0919686140000427,-0.224550017954826,-1.10681346401226,368,"ATF2",38,49
"ELF1",0.567404426559356,0.810776403084095,0.0401660980049421,-0.187806597943614,-0.987930999209018,1798,"ATF2",67,49
"ERG",0.154150197628458,0.466984422227389,0.227987202850442,0.232821597423673,1.14441299804536,108,"ATF2",31,49
"ESR1",0.612903225806452,0.810776403084095,0.0943563635421779,0.215639818686739,0.939948159447665,61,"ATF2",77,49
"ETS1",0.883333333333333,0.939947347462502,0.0307037368093842,-0.181343897146744,-0.797270006344759,130,"ATF2",99,49
"EZH2",0.0538491527060289,0.277323136436049,0.321775918075361,0.374196063596431,1.41234805873962,34,"ATF2",6,49
"EZH2",0.768258426966292,0.876886849414322,0.0415717899246479,-0.205520937889344,-0.836733832757205,83,"ATF2",97,49
"FLI1",0.866235167206041,0.939181286549708,0.0226556224333514,-0.171929278552741,-0.864640985326059,516,"ATF2",91,49
"FOS",0.113466605816379,0.380559897683672,0.287805130535564,0.196105023541151,1.1414054560837,437,"ATF2",32,49
"FOSL2",0.587412587412587,0.810776403084095,0.101713902282311,0.203901572522843,0.952273932703,82,"ATF2",74,49
"FOXA1",0.310526315789474,0.627141382868937,0.0822054920415869,-0.247680658187893,-1.07354133836225,119,"ATF2",44,49
"FOXA2",0.754310344827586,0.876886849414322,0.0992333343771191,0.175645537740987,0.914879914147761,154,"ATF2",82,49
"FOXM1",0.000928328003196651,0.0239044460823138,0.477270815362862,-0.424821610315348,-1.72780672186453,82,"ATF2",1,49
"FOXP2",0.409282700421941,0.703956834532374,0.139599673451922,0.207573650067663,1.03438142490926,123,"ATF2",56,49
"GABPA",0.56969696969697,0.810776403084095,0.0401660980049421,-0.187771365989079,-0.985006022106986,1553,"ATF2",68,49
"GATA1",0.0698872150410224,0.30744395711501,0.287805130535564,0.194454297662635,1.13242836137962,453,"ATF2",35,49
"GATA2",0.240227384486753,0.526683907370401,0.249246554383295,0.182196732157134,1.06443876691454,448,"ATF2",47,49
"HDAC2",0.229139072847682,0.526683907370401,0.0999276973731092,-0.26230424521932,-1.13401358833029,116,"ATF2",34,49
"HNF4A",0.88519313304721,0.939947347462502,0.0210730272985761,-0.170388744838854,-0.863209073109192,622,"ATF2",92,49
"IRF1",0.00415940336498404,0.0714030910988927,0.407017918923954,-0.326370041808388,-1.50136680076959,181,"ATF2",3,49
"IRF3",0.0856094817601938,0.31969982712557,0.287805130535564,0.192762669186243,1.1225769562597,453,"ATF2",36,49
"IRF8",0.0716374269005848,0.30744395711501,0.20207170902116,-0.364883029081493,-1.355506171798,48,"ATF2",7,49
"KAT2A",0.689208633093525,0.876401101341149,0.0476387259290825,-0.220067133372451,-0.870497859548272,67,"ATF2",90,49
"KLF4",0.0822649572649573,0.31969982712557,0.158514105424824,-0.231026924867394,-1.17001675531679,596,"ATF2",22,49
"MAX",0.00171130279240739,0.0352528375235922,0.45505986738723,-0.234935255620784,-1.23518521814679,1649,"ATF2",16,49
"MYC",0.000268177544797318,0.0138111435570619,0.49849310876659,-0.292633981642556,-1.46357455429063,477,"ATF2",4,49
"MYC",0.00570551558848944,0.0734585132018015,0.407017918923954,-0.239545929661366,-1.25273950974112,1219,"ATF2",12,49
"MYOD1",0.0423289693487234,0.256463755465795,0.321775918075361,0.339303149728133,1.43576030291402,52,"ATF2",5,49
"NANOG",0.513333333333333,0.789154228855721,0.158514105424824,0.173352002756356,0.982540311799982,292,"ATF2",69,49
"NELFE",0.380710659898477,0.678218679604921,0.0697792517076235,-0.226432647494305,-1.04163500324549,181,"ATF2",53,49
"NFE2L2",0.771834061135371,0.876886849414322,0.0294227657846801,-0.180226093398921,-0.900883295339042,452,"ATF2",86,49
"NFIC",0.942602040816326,0.972264573991031,0.0271669768425399,-0.166032672843403,-0.767209770249123,190,"ATF2",100,49
"NFYA",0.60790273556231,0.810776403084095,0.0373029764832679,-0.185826389446925,-0.974342604507751,1538,"ATF2",70,49
"NFYB",0.751503006012024,0.876886849414322,0.0263947139776277,-0.179120448540117,-0.946847286079052,2446,"ATF2",75,49
"NR2C2",0.600715137067938,0.810776403084095,0.0453152441270267,-0.195806079163091,-0.945072820615688,268,"ATF2",76,49
"NRF1",0.0506585612968592,0.276473684210526,0.199915231309662,-0.219123653166696,-1.14740533780934,1369,"ATF2",30,49
"PBX3",0.0258423384885862,0.193432372010824,0.352487857583619,0.189008383689641,1.14825730540983,810,"ATF2",29,49
"PML",0.0245993270139098,0.193432372010824,0.352487857583619,-0.229597561139085,-1.19842656414608,1162,"ATF2",19,49
"POU5F1",0.367713004484305,0.678218679604921,0.153158808683073,0.20468469375731,1.03456408871853,133,"ATF2",54,49
"PPARD",0.482005141388175,0.763792762507415,0.0589694466690997,-0.22168367780443,-0.994648465104904,146,"ATF2",65,49
"PPARG",0.000252028032614765,0.0138111435570619,0.49849310876659,-0.305949341772618,-1.50699291315977,350,"ATF2",2,49
"RAD21",0.114537444933921,0.380559897683672,0.134273452883202,-0.230650398839101,-1.15394216870963,481,"ATF2",28,49
"RCOR1",0.336569579288026,0.654088050314465,0.0678338263479455,-0.207880076823236,-1.04543935720036,516,"ATF2",52,49
"RELA",0.967351874244256,0.976835716148612,0.0228693972350018,-0.157145063498757,-0.751629201734754,256,"ATF2",101,49
"REST",0.240331491712707,0.526683907370401,0.0995791200495904,-0.276577552785937,-1.1370759791148,86,"ATF2",33,49
"REST",0.857929515418502,0.939181286549708,0.0243564001293776,-0.172913057501692,-0.861944415331242,440,"ATF2",93,49
"RFX5",0.668896321070234,0.861204013377927,0.0373029764832679,-0.188033985037773,-0.929635971684533,373,"ATF2",80,49
"RUNX1",0.727178423236514,0.876886849414322,0.0298484971250709,-0.181166184028074,-0.934153204012748,808,"ATF2",78,49
"SALL4",0.118686868686869,0.382023358585859,0.142056643575821,-0.255726773249169,-1.18657345077565,196,"ATF2",21,49
"SIN3A",0.0150533468437864,0.156877330745244,0.380730400722792,-0.237683620787811,-1.23045599805105,880,"ATF2",17,49
"SIX5",0.845010615711253,0.939181286549708,0.0231538258045259,-0.173128280743496,-0.883870611564971,702,"ATF2",87,49
"SMAD4",0.203791469194313,0.526683907370401,0.216542836735348,0.201217017763798,1.08933683076492,198,"ATF2",40,49
"SMC3",0.464094319399786,0.758516905737705,0.0522693317499306,-0.199789715110743,-1.0091245617481,557,"ATF2",62,49
"SOX2",0.943946188340807,0.972264573991031,0.0198261062533673,-0.162640316042094,-0.80328143011885,377,"ATF2",98,49
"SP1",0.0267477841488874,0.193432372010824,0.352487857583619,0.204973890226391,1.20343031446631,503,"ATF2",18,49
